Shape,# target nodes
http://schema.org/AdministrativeArea,3653807
http://schema.org/Airline,41436
http://schema.org/Airport,25064
http://schema.org/BioChemEntity,173464
http://schema.org/BodyOfWater,1395925
http://schema.org/Book,627284
http://schema.org/City,40728
http://schema.org/Continent,166
http://schema.org/Corporation,697950
http://schema.org/Country,568826
http://schema.org/CreativeWork,4507275
http://schema.org/EducationalOrganization,745178
http://schema.org/Event,1127690
http://schema.org/Intangible,109113
http://schema.org/Landform,3032986
http://schema.org/Language,8712
http://schema.org/MedicalCondition,20993
http://schema.org/MedicalEntity,22434
http://schema.org/MedicalProcedure,988
http://schema.org/MedicalSpecialty,454
http://schema.org/MusicComposition,712802
http://schema.org/Organization,6814802
http://schema.org/PerformingGroup,140394
http://schema.org/Person,12966236
http://schema.org/Place,14289635
http://schema.org/Product,2037008
http://schema.org/Taxon,3949991
http://schema.org/Thing,39032792
http://schema.org/TVSeries,219427
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,0
http://www.w3.org/2000/01/rdf-schema#Class,206346
http://yago-knowledge.org/resource/AcademicDiscipline,6891
http://yago-knowledge.org/resource/AstronomicalObject,1717823
http://yago-knowledge.org/resource/Award,80109
http://yago-knowledge.org/resource/BeliefSystem,3616
http://yago-knowledge.org/resource/Coin,212819
http://yago-knowledge.org/resource/Color,891
http://yago-knowledge.org/resource/Election,89628
http://yago-knowledge.org/resource/FictionalEntity,169243
http://yago-knowledge.org/resource/Gender,143
http://yago-knowledge.org/resource/HairColor,103
http://yago-knowledge.org/resource/HumanMadeGeographicalEntity,6273753
http://yago-knowledge.org/resource/LocalOrganization,4489534
http://yago-knowledge.org/resource/MusicalInstrument,24520
http://yago-knowledge.org/resource/PersonName,28
http://yago-knowledge.org/resource/UnitOfArea,461
http://yago-knowledge.org/resource/UnitOfLength,902
http://yago-knowledge.org/resource/UnitOfLuminosity,0
http://yago-knowledge.org/resource/UnitOfMass,746
http://yago-knowledge.org/resource/UnitOfMeasurement,8769
http://yago-knowledge.org/resource/UnitOfMoney,2033
http://yago-knowledge.org/resource/UnitOfSpeed,72
http://yago-knowledge.org/resource/UnitOfTemperature,39
http://yago-knowledge.org/resource/UnitOfTime,419
http://yago-knowledge.org/resource/Way,1121235
